character,level,strokes,grade,freq,onyomi,kunyomi,meanings
晴,N3,12,2,1022,セイ,は.れる; は.れ; は.れ-; -ば.れ; は.らす,clear up
掛,N3,11,8,1027,カイ; ケイ,か.ける; -か.ける; か.け; -か.け; -が.け; か.かる; -か.かる; -が.かる; か.かり; -が.かり; かかり; -がかり,hang; suspend; depend; arrive at; tax; pour
到,N3,8,8,1032,トウ,いた.る,arrival; proceed; reach; attain; result in
寝,N3,13,8,1034,シン,ね.る; ね.かす; い.ぬ; みたまや; や.める,lie down; sleep; rest; bed; remain unsold
暗,N3,13,3,1040,アン,くら.い; くら.む; くれ.る,darkness; disappear; shade; informal; grow dark; be blinded
盗,N3,11,8,1051,トウ,ぬす.む; ぬす.み,steal; rob; pilfer
吸,N3,6,6,1054,キュウ,す.う,suck; imbibe; inhale; sip
陽,N3,12,3,1071,ヨウ,ひ,sunshine; yang principle; positive; male; heaven; daytime
御,N3,12,8,1087,ギョ; ゴ,おん-; お-; み-,honorable; manipulate; govern
歯,N3,12,3,1106,シ,よわい; は; よわ.い; よわい.する,tooth; cog
忘,N3,7,6,1129,ボウ,わす.れる,forget
雪,N3,11,2,1131,セツ,ゆき,snow
吹,N3,7,8,1133,スイ,ふ.く,blow; breathe; puff; emit; smoke
娘,N3,10,8,1145,ジョウ,むすめ; こ,daughter; girl
誤,N3,14,6,1150,ゴ,あやま.る; -あやま.る,mistake; err; do wrong; mislead
洗,N3,9,6,1168,セン,あら.う,wash; inquire into; probe
慣,N3,14,5,1177,カン,な.れる; な.らす,accustomed; get used to; become experienced
礼,N3,5,3,1185,レイ; ライ,,salute; bow; ceremony; thanks; remuneration
窓,N3,11,6,1186,ソウ; ス,まど; てんまど; けむだし,window; pane
昔,N3,8,3,1197,セキ; シャク,むかし,once upon a time; antiquity; old times
貧,N3,11,5,1211,ヒン; ビン,まず.しい,poverty; poor
怒,N3,9,8,1221,ド; ヌ,いか.る; おこ.る,angry; be offended
泳,N3,8,3,1223,エイ,およ.ぐ,swim
祖,N3,9,5,1226,ソ,,ancestor; pioneer; founder
杯,N3,8,8,1235,ハイ,さかずき,counter for cupfuls; wine glass; glass; toast
疲,N3,10,8,1263,ヒ,つか.れる; -づか.れ; つか.らす,exhausted; tire; weary
皆,N3,9,8,1267,カイ,みな; みんな,all; everything
鳴,N3,14,2,1279,メイ,な.く; な.る; な.らす,chirp; cry; bark; sound; ring; echo; honk
腹,N3,13,6,1286,フク,はら,abdomen; belly; stomach
煙,N3,13,8,1290,エン,けむ.る; けむり; けむ.い,smoke
眠,N3,10,8,1315,ミン,ねむ.る; ねむ.い,sleep; die; sleepy
怖,N3,8,8,1325,フ; ホ,こわ.い; こわ.がる; お.じる; おそ.れる,dreadful; be frightened; fearful
耳,N3,6,1,1328,ジ,みみ,ear
頂,N3,11,6,1350,チョウ,いただ.く; いただき,place on the head; receive; top of head; top; summit; peak
箱,N3,15,3,1357,ソウ,はこ,box; chest; case; bin; railway car
晩,N3,12,6,1424,バン,,nightfall; night
寒,N3,12,3,1456,カン,さむ.い,cold
髪,N3,14,8,1474,ハツ,かみ,hair of the head
忙,N3,6,8,1475,ボウ; モウ,いそが.しい; せわ.しい; おそ.れる; うれえるさま,busy; occupied; restless
才,N3,3,2,1497,サイ,,genius; years old; cubic shaku
靴,N3,13,8,1561,カ,くつ,shoes
恥,N3,10,8,1575,チ,は.じる; はじ; は.じらう; は.ずかしい,shame; dishonor
偶,N3,11,8,1602,グウ,たま,accidentally; even number; couple; man & wife; same kind
偉,N3,12,8,1639,イ,えら.い,admirable; greatness; remarkable; conceited; famous; excellent
猫,N3,11,8,1702,ビョウ,ねこ,cat
幾,N3,12,8,1725,キ,いく-; いく.つ; いく.ら,how many; how much; how far; how long; some; several
