character,level,strokes,grade,freq,onyomi,kunyomi,meanings
直,N3,8,2,246,チョク; ジキ; ジカ,ただ.ちに; なお.す; -なお.す; なお.る; なお.き; す.ぐ,straightaway; honesty; frankness; fix; repair
両,N3,6,3,247,リョウ,てる; ふたつ,"both; old Japanese coin; counter for carriages (e.g., in a train); two"
式,N3,6,3,251,シキ,,style; ceremony; rite; function; method; system; form; expression
確,N3,15,5,252,カク; コウ,たし.か; たし.かめる,assurance; firm; tight; hard; solid; confirm; clear; evident
果,N3,8,4,258,カ,は.たす; はた.す; -は.たす; は.てる; -は.てる; は.て,fruit; reward; carry out; achieve; complete; end; finish; succeed
容,N3,10,5,264,ヨウ,い.れる,contain; form; looks
必,N3,5,4,265,ヒツ,かなら.ず,invariably; certain; inevitable
演,N3,14,5,267,エン,,performance; act; play; render; stage
歳,N3,13,8,269,サイ; セイ,とし; とせ; よわい,year-end; age; occasion; opportunity
争,N3,6,4,271,ソウ,あらそ.う; いか.でか,contend; dispute; argue
談,N3,15,3,272,ダン,,discuss; talk
能,N3,10,5,273,ノウ,よ.く; あた.う,ability; talent; skill; capacity
位,N3,7,4,276,イ,くらい; ぐらい,rank; grade; throne; crown; about; some
置,N3,13,4,277,チ,お.く; -お.き,placement; put; set; deposit; leave behind; keep; employ; pawn
流,N3,10,3,280,リュウ; ル,なが.れる; なが.れ; なが.す; -なが.す,current; a sink; flow; forfeit
格,N3,10,5,281,カク; コウ; キャク; ゴウ,,"status; rank; capacity; character; case (law, grammar)"
疑,N3,14,6,283,ギ,うたが.う,doubt; distrust; be suspicious; question
過,N3,12,5,285,カ,す.ぎる; す.ごす; あやま.ち; あやま.つ; よぎ.る; よ.ぎる,overdo; exceed; go beyond; error
局,N3,7,3,286,キョク,つぼね,bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment
放,N3,8,3,288,ホウ,はな.す; -っぱな.し; はな.つ; はな.れる; こ.く; ほう.る,set free; release; fire; shoot; emit; banish; liberate
常,N3,11,5,293,ジョウ,つね; とこ-,usual; ordinary; normal; common; regular; continually; always; long-lasting
状,N3,7,5,298,ジョウ,,status quo; conditions; circumstances; form; appearance
球,N3,11,3,302,キュウ,たま,ball; sphere
職,N3,18,5,305,ショク; ソク,,post; employment; work
与,N3,3,8,308,ヨ,あた.える; あずか.る; くみ.する; ともに,bestow; participate in; give; award; impart; provide; cause; gift; godsend
供,N3,8,6,313,キョウ; ク; クウ; グ,そな.える; とも; -ども,submit; offer; present; serve (meal); accompany
役,N3,7,3,315,ヤク; エキ,,duty; war; campaign; drafted labor; office; service; role
構,N3,14,5,316,コウ,かま.える; かま.う,posture; stance; appearance; build; set up
割,N3,12,6,318,カツ,わ.る; わり; わ.り; わ.れる; さ.く,proportion; comparatively; divide; cut; separate; split
費,N3,12,5,321,ヒ,つい.やす; つい.える,expense; cost; spend; consume; waste
付,N3,5,4,322,フ,つ.ける; -つ.ける; -づ.ける; つ.け; つ.け-; -つ.け; -づ.け; -づけ; つ.く; -づ.く; つ.き; -つ.き; -つき; -づ.き; -づき,adhere; attach; refer to; append
由,N3,5,3,325,ユ; ユウ; ユイ,よし; よ.る,wherefore; a reason
説,N3,14,4,326,セツ; ゼイ,と.く,opinion; theory; explanation; rumor
難,N3,18,6,330,ナン,かた.い; -がた.い; むずか.しい; むづか.しい; むつか.しい; -にく.い,difficult; impossible; trouble; accident; defect
優,N3,17,6,334,ユウ; ウ,やさ.しい; すぐ.れる; まさ.る,tenderness; excel; surpass; actor; superiority; gentleness
夫,N3,4,4,335,フ; フウ; ブ,おっと; それ,husband; man
収,N3,4,6,337,シュウ,おさ.める; おさ.まる,income; obtain; reap; pay; supply; store
断,N3,11,5,338,ダン,た.つ; ことわ.る; さだ.める,severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting
石,N3,5,1,342,セキ; シャク; コク,いし,stone
違,N3,13,8,344,イ,ちが.う; ちが.い; ちが.える; -ちが.える; たが.う; たが.える,difference; differ
消,N3,10,3,345,ショウ,き.える; け.す,extinguish; blow out; turn off; neutralize; cancel
神,N3,9,3,347,シン; ジン,かみ; かん-; こう-,gods; mind; soul
番,N3,12,2,348,バン,つが.い,turn; number in a series
規,N3,11,5,349,キ,,standard; measure
